id,date,store_id,product_id,product_name,gmv,unit_sold,commission,roi
314,2026-03-01,FR02OS001,54250334723,Special free hadiah New 2026 freemir Slow Rice Cooker Digital 1.2L Low Sugar Magic Com MPASI Bayi,1533918.0,3,61356.72,25.0
315,2026-03-01,FR02OS001,27841519903,Special freemir Wajan Stainless Set Serie API SUS304 Induksi Bottom Anti Karat Panas Cepat Merata,1532000.0,4,85515.2,17.914943776077237
316,2026-03-01,FR02OS001,29277083816,[OFFICIAL] freemir Digital Rice Cooker Digital Aesthetic Low Carbo/ Rice Cooker Digital / Penanak Nasi /Smart touch screen rice cooker 1.2L 400W,1381608.0,2,41342.56,33.418540119431405
317,2026-03-01,FR02OS001,40370504237,Special freemir Panci Presto Sultan 10L Beige - Spesial Masak Besar Sahur & Buka Puasa Anti Lengket,1364699.0,4,60343.96,22.61533714393288
318,2026-03-01,FR02OS001,28956757717,[OFFICIAL] freemir Panci 20 CM Wajan Panci Serbaguna Single Bottom Panci Warna Hitam,1298461.0,11,84759.68,15.319323999335534
319,2026-03-01,FR02OS001,18350670317,[OFFICIAL] freemir  4 in 1 Multi Kedalaman 20 cm Dengan tutup Deep Fryer Panci Stainless Steel Saringan Capitan Klip Makanan,1242463.0,8,53495.34,23.225630494170147
320,2026-03-01,FR02OS001,22438133371,[OFFICIAL] freemir 24/20cm Panci Dua Handle dengan Tutup Kaca Tinggi 10cm wajan anti lengket panci anti lengket,1191843.0,7,119184.3,10.0
321,2026-03-01,FR02OS001,22588766844,Special Buy 1 get 1 freemir Wajan Teflon Black Series 24cm Granit Anti Lengket Gagang Kayu Serbaguna,1187149.0,4,83183.44,14.27145835757694
322,2026-03-01,FR02OS001,42669698420,Special freemir Wajan Panci Kuping Presto 24/10 Micro-Pressure Anti Lengket Serbaguna Untuk Keluarga,1118819.0,5,60850.08,18.386483633217903
402,2026-03-01,FR02OS001,12854147927,[OFFICIAL] freemir 5 Pcs Set Pisau Dapur Beige Anti Lengket Tajam Isi Talenan Pisau Buah Pisau Dapur,75500.0,1,6040.0,12.5
323,2026-03-01,FR02OS001,41070742868,"Special freemir Panci Kukus Stainless 26cm Kapasitas besar 2 lapis, cocok untuk mengukus nasi dan ikan sebagai makanan pendamping ASI anak",1084144.0,4,21682.88,50.0
324,2026-03-01,FR02OS001,28551466004,[OFFICIAL BEST SELLER] freemir Panci Susu Anti Lengket Panci Mie Panci Serbaguna Panci Gemoy  Aesthetic Double Bottom Pemanasan Merata,1033414.0,6,49346.92,20.941813592418736
325,2026-03-01,FR02OS001,24832616754,Special freemir 3in1 Wajan Panci Frypan Granite 20/20/24 Cm Warna Beige Anti Lengket Serbaguna wajan anti lengket,1031905.0,4,20638.1,50.0
326,2026-03-01,FR02OS001,29464953240,Special freemir Set Wajan Panci Anti Lengket Wajan 20 cm Panci 18 cm Putih  dengan Tutup Kaca Wajan Serbaguna,900148.0,4,54246.96,16.593519710597608
327,2026-03-01,FR02OS001,25750605174,Special freemir Wajan Kuping Granite Panci Susu Mpasi 20cm Anti Lengket Serbaguna MPASI Foodgrade,799108.0,3,57928.96,13.794620169255586
328,2026-03-01,FR02OS001,25119005763,Special freemir Panci Kukus Rebus 2/3 Susun 26cm Stainless Steel Anti Karat kukus dan rebus 4.5L,778062.0,4,50119.6,15.524106337640365
329,2026-03-01,FR02OS001,23881573144,Special freemir Wajan Panci Granit Black Granit 20cm Anti Lengket Serbaguna Pegangan Kayu Anti Rayap,773105.0,5,24677.94,31.32777695383002
330,2026-03-01,FR02OS001,19190085273,Special freemir Deepfryer Set 304 Stainless Steel Anti Karat Multifungsi Bisa Goreng dan Rebus,758718.0,5,61939.85,12.24927086520229
331,2026-03-01,FR02OS001,24379113703,[OFFICIAL] freemir Beige 30cm wajan anti lengket 4L panci anti lengket teflon anti lengket Kompatibel dengan kompor induksi,747153.0,4,33427.22,22.35163438658674
332,2026-03-01,FR02OS001,26229835725,[OFFICIAL] freemir Wajan 28 cm SUS 304 Stainless Steel Jerman GARANSI 100% KERUSAKAN,731205.0,3,24865.8,29.406051685447483
333,2026-03-01,FR02OS001,22838112302,[OFFICIAL] freemir Wajan Penggorengan 24 cm Anti Lengket Gagang Kayu Serbaguna,698411.0,8,18050.76,38.69150107807096
334,2026-03-01,FR02OS001,29208074671,Special freemir Wajan Panci Jumbo Black Series 30 cm Anti Lengket Serbaguna Bisa semua jenis masakan,691621.0,3,13832.42,50.0
335,2026-03-01,FR02OS001,16292750312,Special freemir Panci Kukus Rebus 2 Susun 26cm Stainless Steel 304 Anti Karat bisa kukus dan rebus,678492.0,3,36777.52,18.448552267798373
336,2026-03-01,FR02OS001,42426727421,"Special freemir Panci Kukus Stainless 26cm Kapasitas besar 3/4/5 lapis, Pengukus nasi cocok untuk mengukus Hadiah Puasa untuk Keluarga nasi dan ikan sebagai",668498.0,2,13369.96,50.0
337,2026-03-01,FR02OS001,29750501783,Special freemir Wajan Penggorengan Anti Lengket Serbaguna Wajan Soup Wajan Tebal Panci Bergaransi,651845.0,4,16328.36,39.92103309824134
338,2026-03-01,FR02OS001,43006257515,Special freemir Terbaru Panci Gemoy Kuping Stainless Steel 304 Food Grade Gagang Kayu Anti Karat 3in1 set,633388.0,3,21833.12,29.010420865180976
339,2026-03-01,FR02OS001,16583082290,[BEST DEALS] freemir Set 4 Pcs Wajan Panci Set 7 Pcs 26/20/20/16 cm Granite Anti Lengket Tutup Kaca,615120.0,1,24604.8,25.0
340,2026-03-01,FR02OS001,27685936663,Special freemir Wajan Set  6Pcs 26/20/20/16cm Gagang Lepas Pasang Anti Lengket Serbaguna Foodgrade,614240.0,1,24569.6,25.0
341,2026-03-01,FR02OS001,44368396753,Special freemir Seri Api-304 Double Bottom Stainless Steel 5-Piece Set No coating is healthier Compatible with a variety of stoves Microwave available,594166.0,1,11883.32,50.0
342,2026-03-01,FR02OS001,16993398901,Special freemir 26cm Kapasitas besar multi-lapis Panci Kukus / Matang dalam 20 Menit Penanak / Kukusan panci,588720.0,1,11774.4,50.0
343,2026-03-01,FR02OS001,51052835055,Special freemir  1.5L Smart Panci Rice Cooker Digital Touch Screen Multifungsi Daya Rendah Kapasitas  Anti Lengket,574560.0,1,22982.4,25.0
344,2026-03-01,FR02OS001,19892915562,Official freemir Wajan Anti Lengket / 16cm Warna Wajan Marble / Panci Kecil Serbaguna untuk Telur / Pancake & Masakan Cepat / Lapisan Anti Lengket Premium,557156.0,8,26685.98,20.87822894268826
345,2026-03-01,FR02OS001,14497861705,Special freemir Wajan Panci Beige Series Induksi 24cm Kedalaman 10cm Granit Anti Lengket Serbaguna,543511.0,2,26376.2,20.606114603316627
346,2026-03-01,FR02OS001,12222795449,[OFFICIAL] freemir Pisau Set 3PCS Pisau Daging Pisau Sayur Pisau Serbaguna Anti Karat,542568.0,6,17706.88,30.641648895796436
347,2026-03-01,FR02OS001,43920747163,"Offical freemir Panci Kukus Stainless 26cm Kapasitas besar 2 lapis, cocok untuk mengukus nasi dan ikan sebagai makanan pendamping ASI anak",520662.0,2,15519.32,33.549279220996794
348,2026-03-01,FR02OS001,18086225745,Special freemir Wajan Granite Teflon Black Series 20cm Granit Anti Lengket Hitam Serbaguna Premium,517346.0,2,10346.92,50.0
349,2026-03-01,FR02OS001,22077990946,[BEST SELLER] freemir Wajan Panci 24 CM Memperdalam Wajan Anti Lengket Wajan +Kukusan Serbaguna Granite,515837.0,3,28120.06,18.344093149161132
350,2026-03-01,FR02OS001,49600369424,Official freemir Rice Cooker 1.2L Digital Magic Com Mini Serbaguna | Kukus Nasi & MPASI Stainless 304 Anti Lengket,511837.0,1,20473.48,25.0
351,2026-03-01,FR02OS001,28813737551,Special freemir Tatakan Kukusan Stainless Steel 16/20/24cm Multifungsi Anti Karat Korosi Foodgrade,504634.0,7,27795.96,18.154940502144918
352,2026-03-01,FR02OS001,2615201244,freemir Tiga Lapis 316 Motif Sarang Lebah dengan Tutup Kaca 24cm Anti Lengket Luar Dalam Panci stainless steel,501388.0,1,50138.8,10.0
353,2026-03-01,FR02OS001,24014065387,Special freemir Wajan Panci Kuping  Kukus Granite Hitam Lebar24cm Tinggi 10cm Serbaguna Anti Lengket,496306.0,2,14817.24,33.49517184036973
