export_item_id_dashboard_down_item,export_item_name_dashboard_down_item,export_price_dashboard_down_item(Rp),export_sales_dashboard_down_item(Rp),export_item_sold_dashboard_down_item,export_orders_dashboard_down_item,export_clicks_dashboard_down_item,export_est_commission_dashboard_down_item(Rp),export_roi_dashboard_down_item,export_total_buyers_dashboard_down_item,export_new_buyers_dashboard_down_item
24664867320,Special freemir Deep Fryer Pot 2 in 1 24 cm  Dengan Rak Tirisan Anti Lengket Serbaguna,154000,131343,1,1,13,5253.72,25.0,1,0
49402841595,freemir Kotak Bento Kotak Penyimpan Makanan Mangkuk Penyimpan Makanan Mangkuk Salad,44000,128425,3,2,94,13453,9.5,2,1
44418689804,NEW special freemir Set api-wajan penggorengan 20cm sus304 Panci anti lengket mudah dibersihkan Pegangan anti-panas Panci dan wajan dapur,174000,126000,1,1,9,2520,50.0,1,1
41459421599,freemir Panci Kopi Susu Granit Food Grade Anti Lengket 2 Set Beige/Hitam,140000,114750,1,1,38,13770,8.3,1,0
22210342505,[OFFICIAL] freemir Deep Fryer Panci 4 in 1 Wajan Stainless Steel Penggorengan Anti Karat Serbaguna,154000,110246,1,1,60,11024.6,10.0,1,1
4230022492,Special freemir Hadiah Untuk Ibu Spesial Ramadhan - Toples Kaca Set 4 in 1 Hampers Lebaran Cantik,124000,103839,1,1,48,4153.56,25.0,1,0
16993398901,Special freemir 26cm Kapasitas besar multi-lapis Panci Kukus / Matang dalam 20 Menit Penanak / Kukusan panci,120000,100395,1,1,356,4015.8,25.0,1,1
26324218402,freemir Kado Lebaran Unik Toples Kaca Set 4 Pcs - Gift Box Mewah Edisi Spesial Ramadhan,124000,88124,1,1,113,3524.96,25.0,1,0
42002418116,[OFFICIAL] freemir food Penjepit Makanan Stainless Steel,30000,75017,3,3,2,4537.1,16.5,3,2
29406450255,[OFFICIAL] freemir Panci Wajan 16cm Wajan Anti Lengket  Black,84900,74307,1,1,3,1486.14,50.0,1,0
44313788529,[OFFICIAL] freemir Frying Pan Anti lengket Pan 16cm Bahan Paduan Aluminium Merah Muda,84000,68498,1,1,11,1369.96,50.0,1,1
25827440794,[OFFICIAL] freemir Pisau Set 5 Pcs Beige Anti Karat Multifungsi Pengupas Buah/Memotong Sayuran/Mengiris Aneka Bahan Makan Berkualitas,84900,68202,1,1,9,6820.2,10.0,1,1
46505871043,freemir Kantong Penyimpanan Beras & Air 3.5L/5L/10L Food Grade Foldable Storage Bag Anti Serangga & Lembab Wadah Minyak Goreng Portable Camping Persiapan Puasa,27000,65204,1,1,2,978.06,66.7,1,0
24822051404,[FLASH SALE] freemir Wajan Panci 20 Cm Tutup Kaca Wajan Anti Lengket Hitam/Beige Lapisan Granit,200000,0,0,1,10,0,--,1,0
4696645173,freemir HANYA UNTUK HADIAH [TIDAK BOLEH DIBELI],39000,0,27,27,17,0,--,27,18
